"","UTC","Precip","timediff"
"1",2015-04-08 00:30:00,0.01,200
"2",2015-04-07 21:10:00,0.02,5
"3",2015-04-07 21:05:00,0.04,5
"4",2015-04-07 21:00:00,0.01,134
"5",2015-04-07 18:46:00,0.04,705
"6",2015-04-07 07:01:00,0.01,54
"7",2015-04-07 06:07:00,0,57
"8",2015-04-07 05:10:00,0.01,5
"9",2015-04-07 05:05:00,0.01,5
"10",2015-04-07 05:00:00,0.01,5
"11",2015-04-07 04:55:00,0.02,5
"12",2015-04-07 04:50:00,0.01,5
"13",2015-04-07 04:45:00,0.01,5
"14",2015-04-07 04:40:00,0.02,5
"15",2015-04-07 04:35:00,0.01,5
"16",2015-04-07 04:30:00,0.03,5
"17",2015-04-07 04:25:00,0.03,5
"18",2015-04-07 04:20:00,0.02,5
"19",2015-04-07 04:15:00,0.02,5
"20",2015-04-07 04:10:00,0.01,7
"21",2015-04-07 04:03:00,0.02,5
"22",2015-04-07 03:58:00,0.02,5
"23",2015-04-07 03:53:00,0.01,5
"24",2015-04-07 03:48:00,0.01,21
"25",2015-04-07 03:27:00,0.01,5
"26",2015-04-07 03:22:00,0.01,7
"27",2015-04-07 03:15:00,0.01,5
"28",2015-04-07 03:10:00,0.02,5
"29",2015-04-07 03:05:00,0.04,5
"30",2015-04-07 03:00:00,0.03,5
"31",2015-04-07 02:55:00,0.03,5
"32",2015-04-07 02:50:00,0.02,5
"33",2015-04-07 02:45:00,0.03,5
"34",2015-04-07 02:40:00,0.03,5
"35",2015-04-07 02:35:00,0.03,5
"36",2015-04-07 02:30:00,0.02,5
"37",2015-04-07 02:25:00,0.03,10
"38",2015-04-07 02:15:00,0.01,5
"39",2015-04-07 02:10:00,0.01,5
"40",2015-04-07 02:05:00,0.01,6
"41",2015-04-07 01:59:00,0.01,5
"42",2015-04-07 01:54:00,0.01,5
"43",2015-04-07 01:49:00,0.02,5
"44",2015-04-07 01:44:00,0.01,5
"45",2015-04-07 01:39:00,0.01,6
"46",2015-04-07 01:33:00,0.01,20
"47",2015-04-07 01:13:00,0.01,7
"48",2015-04-07 01:06:00,0.01,6
"49",2015-04-07 01:00:00,0.01,6
"50",2015-04-07 00:54:00,0.01,15
"51",2015-04-07 00:39:00,0.01,8
"52",2015-04-07 00:31:00,0.01,8
"53",2015-04-07 00:23:00,0.01,5
"54",2015-04-07 00:18:00,0.02,10
"55",2015-04-07 00:08:00,0.01,5
"56",2015-04-07 00:03:00,0.01,6
"57",2015-04-06 23:57:00,0.02,16
"58",2015-04-06 23:41:00,0.01,8
"59",2015-04-06 23:33:00,0.01,14
"60",2015-04-06 23:19:00,0,8
"61",2015-04-06 23:11:00,0.01,7
"62",2015-04-06 23:04:00,0.01,5
"63",2015-04-06 22:59:00,0.01,5
"64",2015-04-06 22:54:00,0.01,5
"65",2015-04-06 22:49:00,0.01,5
"66",2015-04-06 22:44:00,0.03,5
"67",2015-04-06 22:39:00,0.01,5
"68",2015-04-06 22:34:00,0.01,11
"69",2015-04-06 22:23:00,0.01,256
